[ 2021-01-09 10:00:41,556 ] Asset loading complete
[ 2021-01-09 10:01:42,165 ] News query failed: "Unrecognized event news."
[ 2021-01-09 10:02:11,389 ] News query failed: "Unrecognized event news."
[ 2021-01-09 10:02:14,167 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Lepiigortv" )
[ 2021-01-09 10:02:14,172 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2021-01-09 10:02:14,183 ] Connected to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2021-01-09 10:02:14,625 ] Connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-01-09 10:02:14,630 ] Disconnected from gameserver
[ 2021-01-09 10:02:15,226 ] News query failed: "Unrecognized event news."
[ 2021-01-09 10:02:22,281 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-01-09 10:03:12,641 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-01-09 10:03:15,724 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Community Manager" )
[ 2021-01-09 10:03:15,727 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2021-01-09 10:03:15,737 ] Connected to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2021-01-09 10:03:15,975 ] Connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-01-09 10:03:15,982 ] Disconnected from gameserver
[ 2021-01-09 10:03:16,710 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-01-09 10:03:17,293 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-01-09 10:11:45,254 ] Asset loading complete
[ 2021-01-09 10:11:50,248 ] News query failed: "Unrecognized event news."
[ 2021-01-09 10:11:52,372 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Community Manager" )
[ 2021-01-09 10:11:52,377 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2021-01-09 10:11:52,387 ] Connected to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2021-01-09 10:11:52,683 ] Connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-01-09 10:11:52,688 ] Disconnected from gameserver
[ 2021-01-09 10:11:53,433 ] News query failed: "Unrecognized event news."
[ 2021-01-09 10:30:35,801 ] Asset loading complete
[ 2021-01-09 10:30:46,097 ] News query failed: "Unrecognized event news."
[ 2021-01-09 10:30:46,954 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Community Manager" )
[ 2021-01-09 10:30:46,959 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2021-01-09 10:30:46,969 ] Connected to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2021-01-09 10:30:47,047 ] Connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-01-09 10:30:47,053 ] Disconnected from gameserver
[ 2021-01-09 10:30:47,998 ] News query failed: "Unrecognized event news."
[ 2021-01-09 10:31:53,669 ] News query failed: "Unrecognized event news."
[ 2021-01-09 11:54:05,450 ] Asset loading complete
[ 2021-01-09 11:54:09,014 ] News query failed: "Unrecognized event news."
[ 2021-01-09 11:54:09,754 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Community Manager" )
[ 2021-01-09 11:54:09,759 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2021-01-09 11:54:09,769 ] Connected to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2021-01-09 11:54:09,865 ] Connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-01-09 11:54:09,871 ] Disconnected from gameserver
[ 2021-01-09 11:54:10,799 ] News query failed: "Unrecognized event news."
[ 2021-01-09 11:59:27,559 ] News query failed: "Unrecognized event news."
[ 2021-01-09 11:59:32,115 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-01-09 11:59:32,850 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Community Manager" )
[ 2021-01-09 11:59:32,852 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2021-01-09 11:59:32,863 ] Connected to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2021-01-09 11:59:32,980 ] Connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-01-09 11:59:32,986 ] Disconnected from gameserver
[ 2021-01-09 11:59:33,830 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-01-09 11:59:36,032 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-01-09 12:00:46,592 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-01-09 12:00:47,311 ] Request connection to gameserver  "tcp://192.168.1.23:7172"  (unprotected:  "tcp://192.168.1.23:7172" )  requested (Charakter "Community Manager" )
[ 2021-01-09 12:00:47,313 ] Request connection to gameserver  "tcp://192.168.1.23:7172" "OTServBR-Global"
[ 2021-01-09 12:00:47,323 ] Connected to gameserver  "tcp://192.168.1.23:7172" "OTServBR-Global"
[ 2021-01-09 12:00:47,474 ] Connection to gameserver  "tcp://192.168.1.23:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-01-09 12:00:47,480 ] Disconnected from gameserver
[ 2021-01-09 12:00:48,292 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-01-09 12:03:03,470 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-01-09 12:03:30,161 ] Asset loading complete
[ 2021-01-09 12:10:51,048 ] Asset loading complete
[ 2021-01-09 12:10:53,838 ] News query failed: "Unrecognized event news."
[ 2021-01-09 12:10:54,831 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Community Manager" )
[ 2021-01-09 12:10:54,835 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2021-01-09 12:10:54,846 ] Connected to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2021-01-09 12:10:54,973 ] Connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-01-09 12:10:54,979 ] Disconnected from gameserver
[ 2021-01-09 12:10:55,891 ] News query failed: "Unrecognized event news."
[ 2021-01-09 12:11:25,698 ] News query failed: "Unrecognized event news."
